"result id","user id","participant name","source","partner study id","partner id","response date (utc)","test duration","status","device","OS","¿Cuál es tu género?","¿Cuál es tu fecha de nacimiento?","¿Qué producto crees que promociona la imagen del siguiente anuncio?","¿Qué producto crees que promociona la imagen del siguiente anuncio? 1","¿Qué producto crees que promociona la imagen del siguiente anuncio? 2","En tus propias palabras, menciona qué es una AFORE","¿Qué AFORE te da más confianza? 
Escoge máximo 3 ","¿Por qué?","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior?","¿Qué tanto conectó contigo? (out of 5)","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 1","¿Qué tanto conectó contigo? (out of 5) 1","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 2","¿Qué tanto conectó contigo? (out of 5) 2","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior? 3","¿Qué tanto conectó contigo? (out of 5) 3","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 4","¿Qué tanto conectó contigo? (out of 5) 4","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 5","¿Qué tanto conectó contigo? (out of 5) 5","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 3","¿Qué te comunica el anuncio anterior? 6","¿Qué tanto conectó contigo? (out of 5) 6","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 4","¿Qué te comunica el anuncio anterior? 7","¿Qué tanto conectó contigo? (out of 5) 7","¿Cuáles son las 3 palabras con las que describirías Afore Azteca?"
1511262,53,"Participant-SD976","","","","2026-06-17 19:56:18","0:08:57","COMPLETED","Mobile","K - Android (10)","Hombre ","2003-04-08","Dentífrico, dermatológico. Destaca la sonrisa y la piel.","Viajes, automóviles. Es muy descriptiva.","Cuenta bancaria, aplicación para pagar en línea. Relaciona tecnología y dinero.","Plan de retiro.","image4:choice1|image1:choice2|image3:choice3","Son del gobierno o de empresas con gran reconocimiento.","Yes","Busca transmitir felicidad.",4,"Yes","Que es importante hacerlo pronto.",2,"Yes","Que tendrás beneficios.",3,"Yes","Inseguridad por tu AFORE actual.",2,"Yes","Genera deseo.",5,"Yes","Felicidad.",5,"Yes","Busca que pienses en ti mismo en el futuro.",3,"Yes","Seguridad.",2,"Identidad, seguridad, confianza."
1511252,51,"Participant-4386J","","","","2026-06-17 19:50:56","0:07:40","COMPLETED","Mobile","K - Android (10)","Hombre ","2005-06-21","Pasta de dientes ","UN VIAJE Y POR QUE ESTAN EN UN PAISAJE 
","Un casino por las monedas","Un ahorro para el futuro ","image9:choice1","Por referencias ","Yes","Una apertura de afore ",4,"Yes","que puedes empezar a ahorrar por tu futuro
",2,"Yes","que puedes empezar con la cantidad mínima ",5,"Yes","Que tú puedes escoger el afore en cualquier momento ",4,"Yes","Que en cualquier monto puedes considerar abrirun afore",3,"Yes","Que el afore es necesario para el futuro ",4,"Yes","Que puedes gestionar tu afore donde sea y hay muchos lugares ",5,"Yes","Que no solo puedes ahorrar para viajar también para tener vida cómoda ",5,"CRECIMIENTO FINANCIERO 
"
1511218,50,"Participant-QY3FR","","","","2026-06-17 19:31:11","0:12:29","COMPLETED","Mobile","K - Android (10)","Hombre ","2000-09-25","Un rastrillo o maquina para afeitar ","Podría ser un plan de retiro, vacaciones o ahorro, lo pienso así por las dos personas mayores que están felices como si estuvieran disfrutando de unas vacaciones ","Podría ser algo sobre inversiones o apuestas, por las monedas de oro que normalmente se ocupan en los anuncio de apuestas o por los bitcoins en el caso de las inversiones ","No sabría decir que es, lo eh escuchado pero no eh investigado, sin embargo pienso en el afore como un ahorro o algo por el estilo para cuando seas mayor y no puedas trabajar ","image1:choice1|image3:choice2","Son bancos de los cuales tengo buenas reseñas por parte de mis padres o familiares ","Yes","Un plan de ahorro del banco",3,"Yes","Un plan de ahorro para tu retiro",3,"Yes","Un plan de ahorro para tu retiro, para que sea a los 65",4,"Yes","Sobre que el primer trabajo no define tu futuro",4,"Yes","Un ahorro de tus sueldo desde 50 para cuando te retires tener tu guardado ",4,"Yes","Un plan sencillo de ahorro que te ayudará en el futuro que puedes empezar desde hoy ",4,"Yes","Seguridad y confianza para  pasar el afore",4,"Yes","La facilidad de iniciar el afore y la Mejor opción que puede ser un negocio propio ",5,"Seguro, confiable, variedad"
1511214,49,"Participant-CPK0S","","","","2026-06-17 19:30:39","0:12:02","COMPLETED","Mobile","K - Android (10)","Mujer ","1978-04-28","Dentista ","Descanso","Libertad financiera ","Ahorro para el retiro ","image5:choice1","Por el nombre ","Yes","Las letras las siento saturadas  y el color se confunde con la cara ",3,"Yes","Me da confianza y de ahorrar desde joven ",5,"Yes","Confianza para personas mayores ",5,"Yes","Muy confuso entre tanta letra y foto ",1,"Yes","Conciencia de comenzar a ahorrar por 50 , que es más fácil ",5,"Yes","Nunca es tarde ",5,"Yes","Comunicación ",3,"Yes","Seguir tus sueños aunque seas mayor ",5,"Igual, retiro, dinero "
1511207,48,"Participant-VMVO4","","","","2026-06-17 19:26:42","0:16:53","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","2003-12-07","Pasta dental","Carro, porque se ve muy bien el auto y las personas se ven felices al estar con él","Inversiones, porque aparece un botón en el celular y monedas alrededor ","Una institución que administra e invierte el dinero que uno da para que al final de la vida laboral se otorguen esos fondos","image5:choice1|image4:choice2|image3:choice3","Profuturo es el que más he visto y el que más confianza me da, ISSSTE porque es en el que estoy e Inbursa porque igual tiene buena reputación","Yes","Para solicitar el afore en banco azteca, la persona se ve feliz ",2,"Yes","Que entre más pronto empieces, mejor será el retiro, además de que el reloj pareciera decir que corre rápido el tiempo",4,"Yes","Que con poco dinero puedes retírate a buena edad como lo son los 65 años, con calidad de vida y un buen carro",4,"Yes","Que no se esforzaron en el diseño y que cada uno puede decidir en qué afore se registra ",1,"Yes","Que con poco puedes comenzar a ahorrar para tu retiro",2,"Yes","Que el mejor día para comenzar el ahorro es hoy",3,"Yes","Las sucursales están más cerca de lo que uno puede llegar a pensar, entonces no es una excusa no ir a revisar tu afore",2,"Yes","Me gusta porque no dice que el retiro significa dejar de ser productivo, te ayuda a emprender y te da una mejor visión de lo que es el retiro ",4,"Incierto, grande, bueno"
1511178,47,"Participant-FAXBZ","","","","2026-06-17 19:10:55","0:09:57","COMPLETED","Mobile","iPhone - iOS (26.5.0)","Mujer ","1994-08-21","Una pasta 
Por la sonrisa y los dientes 
","Seguros 
Por el carro ","El celular 
Venta de telefonía

","Ahorros","image1:choice1","Más segura","Yes","Una afore ",5,"Yes","Un anuncio sobre un afire",5,"Yes","Un afore ",5,"Yes","Un ahorro ",5,"Yes","Ahorrar ",5,"Yes","Cambiar de afore ",5,"Yes","Disponibilidad ",5,"Yes","Afore",5,"Fin"
1511176,45,"Participant-F604N","","","","2026-06-17 19:10:31","","INCOMPLETE","Mobile","K - Android (10)","Mujer ","1994-08-21","Una pasta 
","Por los dientes 

","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1511172,44,"Participant-HWBN6","","","","2026-06-17 19:08:16","0:19:25","COMPLETED","Mobile","K - Android (10)","Mujer ","1994-06-08","Colgate por la sonrisa","Chevrolet por el auto ","Pago con tarjeta ","El aforé es un tipo de apoyo para la vejez va incrementado tu dinero de un trabajador ","image3:choice1|image6:choice2","Son mejor para ir incrementado tu dinero 
","Yes","Te proporciona un aforé y mejor incremento 
",3,"Yes","Que tienes mejor beneficio antes delos 60
",5,"Yes","Que tienes la oportunidad de Aser tu mismo tu dinero para el retiro ",5,"Yes","Que puedes cambiar de aforé facil y rápido ",3,"Yes","Que puedes incrementar tu aforé todos los dias",5,"Yes","Que no debo esperar asta 10 años para poder Aser lo del afore",5,"Yes","Que puedo acudir a cualquier sucursal y rápido puedo disponer de mi dinero ",5,"Yes","Que puedo acudir rápido a cualquier sucursal ",5,"Que es rápido y seguro "
1511149,42,"Participant-O0ZBQ","","","","2026-06-17 18:54:04","0:08:56","COMPLETED","Mobile","K - Android (10)","Hombre ","1991-12-06","Pasta de dientes por la sonrisa","Un auto por el vehículo que tiene atrás las personas y es muy llamativo ","Alguna financiera porque está el dinero en el aire ","Un medio financiero que cuida tú dinero para el ahorro de tú pensión ","image4:choice1|image6:choice2|image1:choice3","Porque tengo una de esas y son las de mejor rendimiento en la lista de afores ","Yes","Afore Azteca ",3,"Yes","Presión de tiempo por el reloj",2,"Yes","Sueños cumplidos ",5,"Yes","Desesperanza ",2,"Yes","Qué ahorrar aunque sea con poco te traes benéficos a futuro ",4,"Yes","Tranquilidad y se ve elegante ",4,"Yes","Confianza ",4,"Yes","Que se puede emprender con poco y tener grandes ganancias a futuro",4,"Seguridad, estrategia y objetivos "
1511147,41,"Participant-23BRZ","","","","2026-06-17 18:52:53","0:08:20","COMPLETED","Mobile","K - Android (10)","Hombre ","1992-01-17","Alcohol ","Seguros","Prestamos personales, por el teléfono en la mano la persona feliz y las monedas ","Ahorro para el retiro o vejez ","image6:choice1|image1:choice2|image5:choice3","Familiares con esos Afores ","Yes","No me comunica gran cosa más que el mensaje de promoción de Afores ",1,"Yes","Anuncio de ahorro, me comunica satisfacción del cliente ",3,"Yes","Me comunica un poco más de confianza y coherencia con lo que se está promocionando ",4,"Yes","Incertidumbre ",2,"Yes","Esta un poco extraño ejeje ",2,"Yes","Satisfacción, seguridad ",4,"Yes","Confianza familiaridad ",4,"Yes","Prosperidad y esperanza, me gustó ",5,"Un poco de desconfianza "
1511145,40,"Participant-29F8X","","","","2026-06-17 18:51:42","0:10:29","COMPLETED","Mobile","K - Android (10)","Hombre ","1996-12-03","Es referente a seguros, ya que demuestra una felicidad ","Promociona el vehículo ","Un servicio de ahorro","El afore es donde se ahorra para tener dinero en un futuro lejano","image5:choice1","Es en la que estoy ya que da mas rendimientos","Yes","Promocionar el aforere de banco azteca y refleja felicidad de la persona ",2,"Yes","Comunica convencimiento de invertir ahi para el afore atrayendo por la forma de retirar",3,"Yes","Comunica un ahorro bajo con 65 pesos y esto llama la atencion para atraer gente",2,"Yes","Muestra que uno es libre de cambiarse de afore ",2,"Yes","Que  puedes ahorrar desde 50 pesos y esto puede atraer a la gente",2,"Yes","Que puedes hacer ahorro voluntario pero no llama mucho la atencion ",2,"Yes","Comunica que hay varias sucursales a cual acudir para ayudarte al afore",3,"Yes","Que si ahorras te puede servir en invertir en un propio negocio a futuro",3,"Accesible, claro, es apto para personas que quieren empezar aportando poco "
1511120,39,"Participant-1C8QV","","","","2026-06-17 18:39:58","0:08:01","COMPLETED","Mobile","iPhone - iOS (26.5.0)","Mujer ","1995-11-03","Servicio dental porque luce mucho los dientes
","La venta del carro ","El celular","Es un seguro de tus ahorros ","image5:choice1","Me inspira confianza por su logo a miras de creen en mejorar un futuro ","Yes","En futuro deseable",1,"Yes","El presente de los afores ",2,"Yes","Pensar en mi futuro durante la vejez",2,"Yes","Que el primer trabajo no define nada en mi futuro",1,"Yes","Motiva el hábito de ahorrar ",4,"Yes","La esperanza de vida se contribuye por un afore ",1,"Yes","El afore en pareja es mejor",1,"Yes","La vejez es importante ",1,"Futuro, proyecto y vejez"
1511118,38,"Participant-HYRY0","","","","2026-06-17 18:39:53","0:06:53","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","2003-05-17","Gael ","Gael","Fac","El agotamiento de la actividad ","image5:choice1","Me gusta su propuesta ","Yes","Un afore ",2,"Yes","Que tengo que hacer algo ya ",3,"Yes","Me gusta, pero no confío en Coppel ",2,"Yes","No me gusta el anuncio, es muy simple ",1,"Yes","Nada, se me hace de mal gusto ",1,"Yes","Pues está más agradable pero no ofrece algo inivador ",2,"Yes","Esta un poco aburrido ",1,"Yes","Me genera confianza ",3,"Error, nunca, malisimon"
1511071,36,"Participant-JEZ6S","","","","2026-06-17 18:13:31","0:14:58","COMPLETED","Mobile","K - Android (10)","Mujer ","2000-10-20","Salud bucal, dientes en buen estado ","Financiamiento automotriz o retiro por la edad de las personas ","Prestamos vía aplicación, por el dinero ","Fondos para el retiro individual ","image1:choice1|image4:choice2","Son instituciones reconocidas ","Yes","Es difícil visualizar ya que la tipografía se encuentra en desorden, considero que el closeup esta muy cerca y amontonada ",1,"Yes","Comunica advertencia para comenzar a abonar para una jubilación digna",3,"Yes","Es el más acertado de los tres ya que son adultos mayores y ahora disfrutan de su afore de manera justa, viajando y viviendo lo que les queda de vida ",4,"Yes","No es agradable ver la cara de preocupación ",2,"Yes","Comunica realidad ya que muchas veces los jóvenes no pensamos a futuro ni priorizamos gastos",5,"Yes","Me agrada y me comunica advertencia, se refiere que estoy a tiempo de comenzar con mis aportaciones",4,"Yes","Representa confianza hacia el futuro siempre y cuando se hagan aportaciones ",3,"Yes","Representa esperanza y confianza para los adultos mayores que deciden emprender después de jubilarse, me agrada ",5,"Desconocido, bajo rendimiento, inseguro "
1511065,35,"Participant-K11CR","","","","2026-06-17 18:07:38","0:12:56","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","1998-03-01","Pasta dental","Automóvil ","Aplicación de finanzas ","Es un fondo de inversión para el retiro","image1:choice1","Porque es un banco registrado además de tener ventajas para los usuarios ","Yes","Es una publicidad de Afore de banco Azteca, trata de comunicar confiabilidad y calidad del servicio mostrando a una persona feliz ",2,"Yes","Otra afore, sin embargo es menos llamativa en relación a confianza, sino que maneja el tiempo como una premisa para la aceptación ",1,"Yes","Maneja una publicidad de afore, sin embargo mantiene un estilo más familiar incluyendo los años de prestigio de la misma, así como ciertos beneficios a futuro después de invertir en su afore ",4,"Yes","Trata de comunicar que el cambio de afore es lo mejor dependiendo del trabajo que se mantenga en el momento ",3,"Yes","El manejo del flujo de dinero es básico para el futuro además de que se puede invertir en cantidades mínimas",4,"Yes","Trata de comunicar que las inversiones a futuro y en un tiempo idóneo es lo mejor ",3,"Yes","Trata de dar una publicidad que influya confunda en su afore ",3,"Yes","El manejo de las inversiones a tiempo ayudan a mejorar el retiro, y tener una buena Afore es esencial para esto",4,"Ineficiente, caótico, accesible "
1511052,34,"Participant-EXY4Y","","","","2026-06-17 17:59:30","0:27:11","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","2004-11-02","Alguna pasta dental, por la gran sonrisa y el acercamiento al rostro ","Un auto, porque es el producto que resalta más de la imagen","Un casino o una app de apuestas, porque regularmente ese tipo de apps te aseguran que ganarás dinero fácil y en la imagen se ven muchas monedas al aire, un celular en una app y una muchacha celebrando","Nunca he tenido un trabajo formal, por lo cual no se que es, pero creo que se refiere a un ahorro para cuando me jubile ","image3:choice1","Me provoca formalidad y seriedad","Yes","Felicidad y seguridad, trata de reflejar confianza para quien quiere contratar un servicio, pero siento que es algo que ya he visto y no me llama leer lo que venden ",1,"Yes","Honestamente se me hace algo básico, no me da confianza de meter dinero, se ve como amateur el anuncio",1,"Yes","Me comunica confianza, facilidad de poder ahorrar y veo que le habla a los adultos mayores que quieren sentirse libres después de tantos años de trabajo",4,"Yes","Le habla a las personas jóvenes que están empezando a trabajar, siento que como joven, es el que más me transmite tranquilidad de que no importa el trabajo, puedo ahorrar para un futuro ",5,"Yes","Que ahorrar es fácil y que hay veces que nos gastamos $50 es unos tacos o una comida y bien podemos hacer un ahorro para nuestro futuro",4,"Yes","Que es importante ahorrar para el afore y que entre más joven es mejor ahorrar, pero no importa porque sigue siendo un buen momento para empezar",1,"Yes","Que hay facilidad de resolver alguna situación porque hay muchos lugares que probablemente estén cerca de mí ",1,"Yes","Que puedo ahorrar para poner un emprendimiento cuando deje de trabajar en un trabajo “formal” ",1,"Ahorro, anciano, fácil "
1511034,33,"Participant-LZGVV","","","","2026-06-17 17:50:42","0:09:11","COMPLETED","Mobile","K - Android (10)","Mujer ","1992-06-05","Debe de ser de un producto que implique convivencia por el tipo de emoción que transmite ","De carros, porque lo que luce es el automóvil ","Algo digital que incluye ganar dinero o crypto","Nose","image10:choice1|image3:choice2","Son las que suenan más en el mercado ","Yes","Que el aforé puede ser mejor con banco azteca ",4,"Yes","Confianza ",2,"Yes","Un futuro sin preocupaciones ",3,"Yes","Que es mejor cambiarte de afore",3,"Yes","Que puedes empezar sin tanto",2,"Yes","No entendí ",1,"Yes","Que es hoy para iniciar ",3,"Yes","Que tú negocio crece",1,"Efectividad, confianza, futuro "
1511004,32,"Participant-KUQ4K","","","","2026-06-17 17:36:12","0:12:03","COMPLETED","Mobile","K - Android (10)","Hombre ","2005-03-13","Anuncio publicitario de pasta de dientes
 Esta mostrando su sonrrisa de una manera más confiable ","Publicitario de viajes
 Son dos personas mayores haciendo lo e parece un viaje a las montañas, eso se deduce por el auto lleno de equipaje y el fondo ","Es un anuncio ya sea de una rifa o un banco, se deduce por las imagen de una chica ganando un premio en efectivo ","No se que significa ","image1:choice1","Lo usa mi mamá, así que sera por algo ","Yes","Confianza y felicidad ",3,"Yes","Puntualidad ",2,"Yes","Movilidad y conformidad ",2,"Yes","Desconfianza e inconformidad ",1,"Yes","No mucho, es confuso el mensaje con respecto a la imagen ",1,"Yes","Conformidad y paz ",2,"Yes","Confianza y seguridad en la empresa ",4,"Yes","Seguimiento y vision ",3,"Economía, variedad, antigüedad "
1511003,31,"Participant-GWGZB","","","","2026-06-17 17:36:10","0:04:45","COMPLETED","Mobile","iPhone - iOS (26.5.0)","Hombre ","2006-04-25","Limpieza dental","agencia de viajes","casino online","Algo donde guardas dinero para la posteridad","image3:choice1","Es el que reconozco","Yes","Algo sobre el afore pero no le veo congruencia ",1,"Yes","Que tengo poco tiempo para el afore",2,"Yes","Una manera de empezar mi afore, una solución ",4,"Yes","La facilidad de cambiar de afore",3,"Yes","Facilidad de comenzar afore",3,"Yes","Una segunda oportunidad ",1,"Yes","Donde empezar el afore",2,"Yes","una oportunidad de negocio",5,"sencillo, simple, efectivo"
1510998,30,"Participant-QEKHB","","","","2026-06-17 17:33:17","0:08:57","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","2006-06-03","Productos faciales y dentales ","Autos y afore","Prestamos","Una manera de ahorro pensandola en un futuro cuando mis capacidades sean menores y no disponga de un trabajo debido a eso.","image5:choice1","Me da confianza porque algun dia vi personas cercanas entrar, pero vagos recuerdos tengo.","Yes","Afore y su promoción para adquirir información ",5,"Yes","Recordatorio a planear y razonar sobre mi afore.",4,"Yes","Inversión a largo plazo desde joven para disfrutar en algun momento del ahorro hecho",5,"Yes","Trabajo para comenzar a invertir y ahorrar ",2,"Yes","Ahorro y planeaciones futuras desde diferentes cantidades para mi afore",5,"Yes","Razonamiento sobre porque hacer tu afore (corto)",3,"Yes","Ubicaciones de información y puntos informativos ",1,"Yes","Ahorro e inversión a través  de tu negocio y ganancias de el",5,"Cantidad, confianza, plazos"
1510985,28,"Participant-2LOO5","","","","2026-06-17 17:27:12","0:06:50","COMPLETED","Mobile","K - Android (10)","Hombre ","2002-02-20","No me aparece la imagen ","Viajes","Una app de apuestas ","Un medio de inversión para mí retiro ","image5:choice1","No he investigado mucho pero es de la que más escucho ","Yes","Meterme al aforé de banco azteca ",3,"Yes","Meterme a Profuturo ",5,"Yes","Meterme a aforé de coppel",4,"Yes","No me dice el nombre del aforé pero me incentiva a ahorrar para mí futuro ",2,"Yes","No me dice que aforé pero me dice que ahorre",1,"Yes","Que empiece a planificar para mí futuro a 10 años",3,"Yes","Que empiece a ahorrar y que hay muchas sucursales ",4,"Yes","Que ahorre para un futuro proyecto",5,"Confiable pero no escucho mucho de él "
1510977,26,"Participant-FYOW9","","","","2026-06-17 17:21:41","0:09:55","COMPLETED","Mobile","K - Android (10)","Mujer ","1985-07-21","Pasta dental por la sonrisa de la persona ","Un coche por qué las personas se ven muy cómodas cerca del coche","Inversión de dinero en línea ","Es una institución en la que ahorras dinero para tu retiro ","image5:choice1","Mi esposo la tiene y lo atienden super ","Yes","Seguridad",5,"Yes","Tranquilidad ",5,"Yes","Mucha información ",4,"Yes","No lo entendí ",3,"Yes","No lo entendí ",2,"Yes","Me dio ansiedad",4,"Yes","Información concreta",3,"Yes","No lo pude apreciar bien ",1,"Accesible, inclusivo, bueno "
1510974,25,"Participant-YCQ3A","","","","2026-06-17 17:19:43","0:05:32","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","2005-08-15","Pasta de dientes ","Coches ","Criptomonedas ","Guardar dinero ","image4:choice1","Es del seguro ","Yes","Guardar dinero y elegirlos ",5,"Yes","Desconfianza ",2,"Yes","Coppel no da confianza por las letras pequeñas ",2,"Yes","Parece saber que quieren los jóvenes ",4,"Yes","Parece ser más familiar, va más de la mano con la forma de vivir ",4,"Yes","Que voy tarde ",2,"Yes","Se ve que es ideal ",4,"Yes","Una opción más al estar viejo ",4,"Intereses, letras pequeñas y cómodo "
1510958,23,"Participant-QN1KM","","","","2026-06-17 17:07:33","0:09:00","COMPLETED","Mobile","K - Android (10)","Hombre ","2007-08-19","Una pasta dental o tratamiento dental","Autos, vuelos o seguros de vida","Criptomonedas o una casa de apuestas
","No lo sé ","image7:choice1|image6:choice2|image3:choice3","La estética y renombre de la institución 
","Yes","Información sobre el afore que brinda banco azteca 
",3,"Yes","No lo vi",3,"Yes","Ahorrar 65 pesos para retirarte a los 65",3,"Yes","Que el primer trabajo o experiencia laboral no influye en su decisión de Afore 
",4,"Yes","Iniciar con tu independencia financiera gracias al ahorro de 50 pesos para afore",4,"Yes","Planificación de retiro gracias al Afore y su temprano desarrollo ",4,"Yes","La ayuda que brinda con la cercanía y cantidad de sucursales en las que brindan el servicio de afore",3,"Yes","La ayuda del afore para abrir una sucursal o un servicio gracias a la ayuda del antes mencionado y que la jubilación de un fruto como sucursal ",4,"Seguridad, ganancia, apoyo"
1510944,22,"Participant-DRKJ4","","","","2026-06-17 17:02:18","0:07:58","COMPLETED","Mobile","K - Android (10)","Hombre ","1980-01-07","Colgate","Autos Volkswagen ","Prestamo","Dónde crese mi dinero","image7:choice1|image6:choice2|image5:choice3","Son las que nos dan más recursos","Yes","Colgate",4,"Yes","Que meda más rendimiento ",5,"Yes","Un afore",5,"Yes","Tristeza por saldo",1,"Yes","Elahorro",3,"Yes","Es ahora de ahorrar",4,"Yes","Que es un afore cercasss",5,"Yes","Escojer una mejor afore",5,"Ahorro,confiable seguro"
1510932,21,"Participant-S3HGL","","","","2026-06-17 16:56:00","0:06:03","COMPLETED","Mobile","K - Android (10)","Hombre ","1992-06-17","Salud bucal
","Viajes ","Casino
","Ahorro para trabajadores ","image5:choice1|image1:choice2|image9:choice3","Son las mejor rankeadas ","Yes","Promocionar su producto ",1,"Yes","Informar sobre el producto ",3,"Yes","Pensar acerca del futuro ",1,"Yes","Informar ",1,"Yes","Poder empezar un ahorro",1,"Yes","Las posibilidades ofrecidas",1,"Yes","La cercanía del producto ",3,"Yes","Opciones ",1,"Seguridad confianza horario"
1510919,19,"Participant-7OS66","","","","2026-06-17 16:49:24","0:08:06","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","1999-02-17","Pasta dental","Promociona al carro, ya que siento que se enfoca más en el","Una casa de apuestas, por el fondo y las monedas","Donde se guarda dinero a través de tu trabajo","image2:choice1|image3:choice2","Son los que más conozco","Yes","Que el afore de banco azteca te ayuda en un futuro",3,"Yes","Que desde jóvenes podemos seguir juntando dinero para no quedarnos sin nada en la vejez",4,"Yes","Que ahorres tu dinero para después poder disfrutarlo",4,"Yes","Que si sentimos que nos equivocamos en sobre tener el afore lo podemos cambiar",3,"Yes","Que poco a poco podemos ahí mentar nuestro afore",4,"Yes","Que planear donde tener nuestro dinero, puede ser bueno en un futuro ",4,"Yes","Que tenemos que saber dónde nos conviene tener el afore",3,"Yes","Que aún recibiendo el dinero, se puede seguir trabajando",4,"Seguro
Efectivo 
Rendidor"
1510918,18,"Participant-2LJYZ","","","","2026-06-17 16:48:55","","COMPLETED","Mobile","K - Android (10)","Mujer ","1998-12-13","Cuidado personal
","Viajes","Juegos en limea","Un seguro
","image9:choice1","No me han fallado","Yes","Nada",1,"Yes","Información de un seguro",2,"Yes","Oportunidad ",3,"Yes","Nada",1,"Yes","Curiosidad
",3,"Yes","No llama mi atención ",3,"Yes","Curiosidad ",4,"Yes"," Inversion",4,"No confiar en "
1510914,16,"Participant-AFUV8","","","","2026-06-17 16:47:16","0:06:12","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","1996-03-10","Partido de futbol ","Un auto ","Cuentas de ahorro ","Es un sistema de recaudación de recursos para la jubilación ","image1:choice1|image3:choice2|image6:choice3","Por experiencias positivas con conocidos ","Yes","Confianza ",2,"Yes","Confiable ",3,"Yes","Sincero ",3,"Yes","Planificar bien tu retiro ",3,"Yes","Formas de pago más fáciles ",3,"Yes","Nuevas oportunidades ",3,"Yes","Accesibilidad a los clientes ",3,"Yes","Recompensas por ahorrar ",3,"Usura, fraude, trump"
1510800,5,"Participant-PIYUA","","","","2026-06-17 15:53:22","0:19:21","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","2003-12-06","un dentista, porque se ve mucho la sonrisa ","el carro, porque es lo que más se ve ","una app de apuestas o algo así, porque hay como dinero y un telefono","una institución que administra fondos para el retiro","image2:choice1","porque es un banco y eso me da confianza","Yes","que hay una afore muy grande ",3,"Yes","que el fondo para el retiro debe pensarse desde antes de que sea el retiro",4,"Yes","que es fácil ahorrar desde ahora y que no se necesita mucho dinero para empezar a hacerlo ",5,"Yes","que se puede cambiar de afore si hay uno que no conviene mucho ",3,"Yes","que se puede empezar a ahorrar aunque no sea mucho dinero, se puede hacer lo antes posible ",3,"Yes","que ya urge que empiece mi fondo para el retiro ",4,"Yes","que está muy al alcance la ayuda por si hay dudas o algo que responder, están disponibles ",4,"Yes","que el afore podría ser un impulso para poner un negocio ",4,"Ahorro, inversión, administración "
1510669,4,"Participant-YYQWS","","","","2026-06-17 15:20:29","0:17:20","COMPLETED","Desktop","Chrome - Linux (x86_64)","Hombre ","1981-11-15","Terapia psicológica ","Agencia de viajes","Inversiones o apuestas","Lugar donde ahorras para el retiro","image5:choice1|image3:choice2|image2:choice3","Fueron las que me recomendaron ","Yes","Me comunica empezar a ahorrar ",2,"Yes","Que los jóvenes deben de empezar temprano a ahorrar ",3,"Yes","Que no es difícil ahorrar",4,"Yes","Que puedo cambiar de afore",4,"Yes","Que lo que gastamos en cosas pequeñas podría servir para ahorrar ",4,"Yes","Que siempre es un buen momento para empezar a ahorrar",5,"Yes","Que hay muchas opciones donde empezar a ahorrar",3,"Yes","Que puedo empezar un nuevo proyecto cuando retire mi Afore ",4,"Ricardo, México, Familias"
